Time,SessionTime,Distance,Speed,RPM,nGear,Throttle,Brake,DRS,X,Y,Z
0 days 00:00:53.024000,0 days 01:57:19.116000,3400.593191649609,307.66499968,10981.3249984,8,100.0,False,0,6210.0,9500.0,1897.0
0 days 00:00:53.091000,0 days 01:57:19.183000,3406.329444444445,308.0,10983.0,8,100.0,False,0,6155.097862973992,9452.282631104408,1895.1924290556894
0 days 00:00:53.364000,0 days 01:57:19.456000,3429.7433796332652,308.75833315555553,11043.666652444444,8,100.0,False,0,5977.0,9297.0,1890.0
0 days 00:00:53.451000,0 days 01:57:19.543000,3437.229444444445,309.0,11063.0,8,100.0,False,0,5935.40342095164,9260.855110525306,1888.9488526522625
0 days 00:00:53.784000,0 days 01:57:19.876000,3465.995951023224,310.66499968,11105.45749184,8,100.0,False,0,5795.0,9139.0,1885.0
0 days 00:00:53.851000,0 days 01:57:19.943000,3471.7850000000008,311.0,11114.0,8,100.0,False,0,5753.454640214538,9102.653038244769,1883.3474937681376
0 days 00:00:53.944000,0 days 01:57:20.036000,3479.8152395727616,311.0,11107.0250048,8,100.0,False,0,5691.0,9048.0,1881.0
0 days 00:00:54.051000,0 days 01:57:20.143000,3489.0627777777786,311.0,11099.0,8,100.0,False,0,5620.619835089543,8986.615728437266,1879.1929850444556
0 days 00:00:54.144000,0 days 01:57:20.236000,3497.1235075691225,311.4227269818182,11110.836355490908,8,100.0,False,0,5560.0,8934.0,1878.0
0 days 00:00:54.344000,0 days 01:57:20.436000,3514.5236848750287,312.33181789090906,11136.290900945454,8,100.0,False,0,5429.0,8821.0,1876.0
0 days 00:00:54.491000,0 days 01:57:20.583000,3527.318333333334,313.0,11155.0,8,100.0,False,0,5332.245171796417,8737.116265112554,1876.7212592120518
0 days 00:00:54.564000,0 days 01:57:20.656000,3533.668318566237,313.0,11154.3916672,8,100.0,False,0,5285.0,8696.0,1877.0
0 days 00:00:54.803000,0 days 01:57:20.895000,3554.4454306094867,313.0,11152.4,8,100.0,False,0,5128.0,8559.0,1876.0
0 days 00:00:54.851000,0 days 01:57:20.943000,3558.618333333334,313.0,11152.0,8,100.0,False,0,5090.933717624859,8526.743787236646,1876.0469051508064
0 days 00:00:55.011000,0 days 01:57:21.103000,3572.5294444444453,313.0,11158.0,8,100.0,False,0,4953.191111947641,8407.126715204973,1877.2051224091806
0 days 00:00:55.083000,0 days 01:57:21.175000,3578.7894655750392,313.0,11162.68,8,100.0,False,0,4892.0,8354.0,1878.0
0 days 00:00:55.211000,0 days 01:57:21.303000,3589.918333333334,313.0,11171.0,8,100.0,False,0,4788.800197139992,8264.365299506402,1879.7060360721023
0 days 00:00:55.371000,0 days 01:57:21.463000,3603.8294444444455,313.0,11110.0,8,100.0,False,0,4671.286972523889,8162.219477423586,1882.2463799403292
0 days 00:00:55.543000,0 days 01:57:21.635000,3618.781240703446,313.0,11144.877777777778,8,100.0,False,0,4577.0,8080.0,1884.0
0 days 00:00:55.731000,0 days 01:57:21.823000,3635.129444444445,313.0,11183.0,8,100.0,False,0,4515.423066697828,8025.843381491543,1884.3651672780284
0 days 00:00:55.863000,0 days 01:57:21.955000,3646.617671213384,313.0,11140.233636333187,8,100.0,False,0,4433.0,7954.0,1886.0
0 days 00:00:56.052000,0 days 01:57:22.144000,3663.0386111111115,313.0,11079.0,8,100.0,False,0,4210.429034287715,7760.981666066057,1892.092836610583
0 days 00:00:56.083000,0 days 01:57:22.175000,3665.722650284224,312.68999936,11077.29499648,8,100.0,False,0,4177.0,7732.0,1893.0
